des,study,TRT,trt,conc,dic,grass,dra,gr15,run,rep,ph,chph,perch
1X Select Max + Xtendimax + Intact + Warrant,1,14,28,1x,DGA+VG,DIM,yes,yes,1,2,6.5,-0.956670,0.128297
1X Select Max + Xtendimax + Intact + Warrant,1,14,28,1x,DGA+VG,DIM,yes,yes,1,3,6.47,-0.986670,0.132320
1X Select Max + Xtendimax + Intact + Warrant,1,14,28,1x,DGA+VG,DIM,yes,yes,2,1,6.49,-0.966670,0.129638
1X Select Max + Xtendimax + Intact + Warrant,1,14,28,1x,DGA+VG,DIM,yes,yes,2,2,6.5,-0.956670,0.128297
1X Select Max + Xtendimax + Intact + Warrant,1,14,28,1x,DGA+VG,DIM,yes,yes,2,3,6.49,-0.966670,0.129638
4X Engenia + Roundup Powermax + Intact + Zidua SC,1,15,29,4x,BAPMA,GLY-K,yes,yes,1,1,4.73,-2.726670,0.365668
4X Engenia + Roundup Powermax + Intact + Zidua SC,1,15,29,4x,BAPMA,GLY-K,yes,yes,1,2,4.73,-2.726670,0.365668
4X Engenia + Roundup Powermax + Intact + Zidua SC,1,15,29,4x,BAPMA,GLY-K,yes,yes,1,3,4.72,-2.736670,0.367009
4X Engenia + Roundup Powermax + Intact + Zidua SC,1,15,29,4x,BAPMA,GLY-K,yes,yes,2,1,4.75,-2.706670,0.362986
4X Engenia + Roundup Powermax + Intact + Zidua SC,1,15,29,4x,BAPMA,GLY-K,yes,yes,2,2,4.76,-2.696670,0.361645
4X Engenia + Roundup Powermax + Intact + Zidua SC,1,15,29,4x,BAPMA,GLY-K,yes,yes,2,3,4.76,-2.696670,0.361645
1X Engenia + Roundup Powermax + Intact + Zidua SC,1,15,30,1x,BAPMA,GLY-K,yes,yes,1,1,4.94,-2.516670,0.337506
1X Engenia + Roundup Powermax + Intact + Zidua SC,1,15,30,1x,BAPMA,GLY-K,yes,yes,1,2,4.94,-2.516670,0.337506
1X Engenia + Roundup Powermax + Intact + Zidua SC,1,15,30,1x,BAPMA,GLY-K,yes,yes,1,3,4.95,-2.506670,0.336165
1X Engenia + Roundup Powermax + Intact + Zidua SC,1,15,30,1x,BAPMA,GLY-K,yes,yes,2,1,4.97,-2.486670,0.333482
1X Engenia + Roundup Powermax + Intact + Zidua SC,1,15,30,1x,BAPMA,GLY-K,yes,yes,2,2,4.98,-2.476670,0.332141
1X Engenia + Roundup Powermax + Intact + Zidua SC,1,15,30,1x,BAPMA,GLY-K,yes,yes,2,3,4.98,-2.476670,0.332141
4X Select Max + Engenia + Intact + Zidua SC,1,16,31,4x,BAPMA,DIM,yes,yes,1,1,6.56,-0.896670,0.120250
4X Select Max + Engenia + Intact + Zidua SC,1,16,31,4x,BAPMA,DIM,yes,yes,1,2,6.57,-0.886670,0.118909
4X Select Max + Engenia + Intact + Zidua SC,1,16,31,4x,BAPMA,DIM,yes,yes,1,3,6.56,-0.896670,0.120250
4X Select Max + Engenia + Intact + Zidua SC,1,16,31,4x,BAPMA,DIM,yes,yes,2,1,6.59,-0.866670,0.116227
4X Select Max + Engenia + Intact + Zidua SC,1,16,31,4x,BAPMA,DIM,yes,yes,2,2,6.56,-0.896670,0.120250
4X Select Max + Engenia + Intact + Zidua SC,1,16,31,4x,BAPMA,DIM,yes,yes,2,3,6.57,-0.886670,0.118909
1X Select Max + Engenia + Intact + Zidua SC,1,16,32,1x,BAPMA,DIM,yes,yes,1,1,6.66,-0.796670,0.106840
1X Select Max + Engenia + Intact + Zidua SC,1,16,32,1x,BAPMA,DIM,yes,yes,1,2,6.69,-0.766670,0.102816
1X Select Max + Engenia + Intact + Zidua SC,1,16,32,1x,BAPMA,DIM,yes,yes,1,3,6.67,-0.786670,0.105498
1X Select Max + Engenia + Intact + Zidua SC,1,16,32,1x,BAPMA,DIM,yes,yes,2,1,6.63,-0.826670,0.110863
1X Select Max + Engenia + Intact + Zidua SC,1,16,32,1x,BAPMA,DIM,yes,yes,2,2,6.66,-0.796670,0.106840
1X Select Max + Engenia + Intact + Zidua SC,1,16,32,1x,BAPMA,DIM,yes,yes,2,3,6.65,-0.806670,0.108181
nontreated check,1,,33,none,none,none,none,none,1,1,7.72,,
nontreated check,1,,33,none,none,none,none,none,1,2,7.59,,
nontreated check,1,,33,none,none,none,none,none,1,3,7.56,,
nontreated check,1,,33,none,none,none,none,none,2,1,7.27,,
nontreated check,1,,33,none,none,none,none,none,2,2,7.38,,
nontreated check,1,,33,none,none,none,none,none,2,3,7.22,,
