des,study,TRT,trt,conc,ams,dic,gly,run,rep,ph,chph,perch
4X Diflexx Duo + Roundup Powermax + AMS,3,19,37,4x,yes,DGA+TMB,GLY-K,1,3,4.16,-3.293333,0.44186044
4X Diflexx Duo + Roundup Powermax + AMS,3,19,37,4x,yes,DGA+TMB,GLY-K,2,1,4.15,-3.303333,0.443202122
4X Diflexx Duo + Roundup Powermax + AMS,3,19,37,4x,yes,DGA+TMB,GLY-K,2,2,4.15,-3.303333,0.443202122
4X Diflexx Duo + Roundup Powermax + AMS,3,19,37,4x,yes,DGA+TMB,GLY-K,2,3,4.16,-3.293333,0.44186044
1X Diflexx Duo + Roundup Powermax + AMS,3,19,38,1x,yes,DGA+TMB,GLY-K,1,1,4.54,-2.913333,0.390876538
1X Diflexx Duo + Roundup Powermax + AMS,3,19,38,1x,yes,DGA+TMB,GLY-K,1,2,4.53,-2.923333,0.39221822
1X Diflexx Duo + Roundup Powermax + AMS,3,19,38,1x,yes,DGA+TMB,GLY-K,1,3,4.54,-2.913333,0.390876538
1X Diflexx Duo + Roundup Powermax + AMS,3,19,38,1x,yes,DGA+TMB,GLY-K,2,1,4.55,-2.903333,0.389534856
1X Diflexx Duo + Roundup Powermax + AMS,3,19,38,1x,yes,DGA+TMB,GLY-K,2,2,4.55,-2.903333,0.389534856
1X Diflexx Duo + Roundup Powermax + AMS,3,19,38,1x,yes,DGA+TMB,GLY-K,2,3,4.57,-2.883333,0.386851493
4X Status + Roundup Powermax + AMS,3,20,39,4x,yes,NA+DIF,GLY-K,1,1,4.48,-2.973333,0.398926628
4X Status + Roundup Powermax + AMS,3,20,39,4x,yes,NA+DIF,GLY-K,1,2,4.5,-2.953333,0.396243265
4X Status + Roundup Powermax + AMS,3,20,39,4x,yes,NA+DIF,GLY-K,1,3,4.52,-2.933333,0.393559901
4X Status + Roundup Powermax + AMS,3,20,39,4x,yes,NA+DIF,GLY-K,2,1,4.7,-2.753333,0.369409632
4X Status + Roundup Powermax + AMS,3,20,39,4x,yes,NA+DIF,GLY-K,2,2,4.7,-2.753333,0.369409632
4X Status + Roundup Powermax + AMS,3,20,39,4x,yes,NA+DIF,GLY-K,2,3,4.7,-2.753333,0.369409632
1X Status + Roundup Powermax + AMS,3,20,40,1x,yes,NA+DIF,GLY-K,1,1,4.78,-2.673333,0.358676179
1X Status + Roundup Powermax + AMS,3,20,40,1x,yes,NA+DIF,GLY-K,1,2,4.79,-2.663333,0.357334497
1X Status + Roundup Powermax + AMS,3,20,40,1x,yes,NA+DIF,GLY-K,1,3,4.79,-2.663333,0.357334497
1X Status + Roundup Powermax + AMS,3,20,40,1x,yes,NA+DIF,GLY-K,2,1,4.98,-2.473333,0.331842546
1X Status + Roundup Powermax + AMS,3,20,40,1x,yes,NA+DIF,GLY-K,2,2,4.99,-2.463333,0.330500865
1X Status + Roundup Powermax + AMS,3,20,40,1x,yes,NA+DIF,GLY-K,2,3,4.99,-2.463333,0.330500865
4X Clarity + Durango DMA + AMS,3,21,41,4x,yes,DGA,DMA,1,1,4.67,-2.783333,0.373434677
4X Clarity + Durango DMA + AMS,3,21,41,4x,yes,DGA,DMA,1,2,4.67,-2.783333,0.373434677
4X Clarity + Durango DMA + AMS,3,21,41,4x,yes,DGA,DMA,1,3,4.67,-2.783333,0.373434677
4X Clarity + Durango DMA + AMS,3,21,41,4x,yes,DGA,DMA,2,1,4.75,-2.703333,0.362701224
4X Clarity + Durango DMA + AMS,3,21,41,4x,yes,DGA,DMA,2,2,4.74,-2.713333,0.364042905
4X Clarity + Durango DMA + AMS,3,21,41,4x,yes,DGA,DMA,2,3,4.74,-2.713333,0.364042905
